,Unnamed: 0,entity_type,entity,demographic,demographic_type,variable,value,statement_id,statement,subscale,entity_first_x,entity_id,entity_parent,entity_first_y
116,2141.0,E,SKINNER MAGNET CENTER,Not ELL,ELL,agree,37.0,Q34,The atmosphere at this school is positive,School Climate,SKINNER,1214,OPS,SKINNER
117,158.0,E,SPRING LAKE MAGNET CENTER,Former ELL,ELL,-2,0.0,Q34,The atmosphere at this school is positive,School Climate,SPRING,1175,OPS,SPRING
118,406.0,E,SPRING LAKE MAGNET CENTER,Former ELL,ELL,-1,0.0,Q34,The atmosphere at this school is positive,School Climate,SPRING,1175,OPS,SPRING
119,654.0,E,SPRING LAKE MAGNET CENTER,Former ELL,ELL,0,0.0,Q34,The atmosphere at this school is positive,School Climate,SPRING,1175,OPS,SPRING
120,902.0,E,SPRING LAKE MAGNET CENTER,Former ELL,ELL,1,0.0,Q34,The atmosphere at this school is positive,School Climate,SPRING,1175,OPS,SPRING
121,1150.0,E,SPRING LAKE MAGNET CENTER,Former ELL,ELL,2,1.0,Q34,The atmosphere at this school is positive,School Climate,SPRING,1175,OPS,SPRING
122,1398.0,E,SPRING LAKE MAGNET CENTER,Former ELL,ELL,(blank),,Q34,The atmosphere at this school is positive,School Climate,SPRING,1175,OPS,SPRING
123,1646.0,E,SPRING LAKE MAGNET CENTER,Former ELL,ELL,disagree,0.0,Q34,The atmosphere at this school is positive,School Climate,SPRING,1175,OPS,SPRING
124,1894.0,E,SPRING LAKE MAGNET CENTER,Former ELL,ELL,neutral,0.0,Q34,The atmosphere at this school is positive,School Climate,SPRING,1175,OPS,SPRING
125,2142.0,E,SPRING LAKE MAGNET CENTER,Former ELL,ELL,agree,1.0,Q34,The atmosphere at this school is positive,School Climate,SPRING,1175,OPS,SPRING
126,177.0,E,WILSON FOCUS SCHOOL,ELL,ELL,-2,0.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
127,178.0,E,WILSON FOCUS SCHOOL,Former ELL,ELL,-2,2.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
128,179.0,E,WILSON FOCUS SCHOOL,Not ELL,ELL,-2,6.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
129,425.0,E,WILSON FOCUS SCHOOL,ELL,ELL,-1,0.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
130,426.0,E,WILSON FOCUS SCHOOL,Former ELL,ELL,-1,0.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
131,427.0,E,WILSON FOCUS SCHOOL,Not ELL,ELL,-1,14.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
132,673.0,E,WILSON FOCUS SCHOOL,ELL,ELL,0,0.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
133,674.0,E,WILSON FOCUS SCHOOL,Former ELL,ELL,0,3.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
134,675.0,E,WILSON FOCUS SCHOOL,Not ELL,ELL,0,29.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
135,921.0,E,WILSON FOCUS SCHOOL,ELL,ELL,1,1.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
136,922.0,E,WILSON FOCUS SCHOOL,Former ELL,ELL,1,0.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
137,923.0,E,WILSON FOCUS SCHOOL,Not ELL,ELL,1,18.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
138,1169.0,E,WILSON FOCUS SCHOOL,ELL,ELL,2,1.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
139,1170.0,E,WILSON FOCUS SCHOOL,Former ELL,ELL,2,0.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
140,1171.0,E,WILSON FOCUS SCHOOL,Not ELL,ELL,2,9.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
141,1417.0,E,WILSON FOCUS SCHOOL,ELL,ELL,(blank),,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
142,1418.0,E,WILSON FOCUS SCHOOL,Former ELL,ELL,(blank),,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
143,1419.0,E,WILSON FOCUS SCHOOL,Not ELL,ELL,(blank),,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
144,1665.0,E,WILSON FOCUS SCHOOL,ELL,ELL,disagree,0.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
145,1666.0,E,WILSON FOCUS SCHOOL,Former ELL,ELL,disagree,2.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
146,1667.0,E,WILSON FOCUS SCHOOL,Not ELL,ELL,disagree,20.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
147,1913.0,E,WILSON FOCUS SCHOOL,ELL,ELL,neutral,0.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
148,1914.0,E,WILSON FOCUS SCHOOL,Former ELL,ELL,neutral,3.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
149,1915.0,E,WILSON FOCUS SCHOOL,Not ELL,ELL,neutral,29.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
150,2161.0,E,WILSON FOCUS SCHOOL,ELL,ELL,agree,2.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
151,2162.0,E,WILSON FOCUS SCHOOL,Former ELL,ELL,agree,0.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
152,2163.0,E,WILSON FOCUS SCHOOL,Not ELL,ELL,agree,27.0,Q34,The atmosphere at this school is positive,School Climate,WILSON,1046,OPS,WILSON
153,213.0,M,BRYAN MIDDLE SCHOOL,ELL,ELL,-2,4.0,Q34,The atmosphere at this school is positive,School Climate,BRYAN,1021,OPS,BRYAN
154,214.0,M,BRYAN MIDDLE SCHOOL,Former ELL,ELL,-2,17.0,Q34,The atmosphere at this school is positive,School Climate,BRYAN,1021,OPS,BRYAN
155,215.0,M,BRYAN MIDDLE SCHOOL,Not ELL,ELL,-2,32.0,Q34,The atmosphere at this school is positive,School Climate,BRYAN,1021,OPS,BRYAN
156,461.0,M,BRYAN MIDDLE SCHOOL,ELL,ELL,-1,3.0,Q34,The atmosphere at this school is positive,School Climate,BRYAN,1021,OPS,BRYAN
157,462.0,M,BRYAN MIDDLE SCHOOL,Former ELL,ELL,-1,29.0,Q34,The atmosphere at this school is positive,School Climate,BRYAN,1021,OPS,BRYAN
158,463.0,M,BRYAN MIDDLE SCHOOL,Not ELL,ELL,-1,49.0,Q34,The atmosphere at this school is positive,School Climate,BRYAN,1021,OPS,BRYAN
159,709.0,M,BRYAN MIDDLE SCHOOL,ELL,ELL,0,25.0,Q34,The atmosphere at this school is positive,School Climate,BRYAN,1021,OPS,BRYAN
160,710.0,M,BRYAN MIDDLE SCHOOL,Former ELL,ELL,0,111.0,Q34,The atmosphere at this school is positive,School Climate,BRYAN,1021,OPS,BRYAN
161,711.0,M,BRYAN MIDDLE SCHOOL,Not ELL,ELL,0,123.0,Q34,The atmosphere at this school is positive,School Climate,BRYAN,1021,OPS,BRYAN
162,957.0,M,BRYAN MIDDLE SCHOOL,ELL,ELL,1,13.0,Q34,The atmosphere at this school is positive,School Climate,BRYAN,1021,OPS,BRYAN
163,958.0,M,BRYAN MIDDLE SCHOOL,Former ELL,ELL,1,66.0,Q34,The atmosphere at this school is positive,School Climate,BRYAN,1021,OPS,BRYAN
164,959.0,M,BRYAN MIDDLE SCHOOL,Not ELL,ELL,1,81.0,Q34,The atmosphere at this school is positive,School Climate,BRYAN,1021,OPS,BRYAN
165,1205.0,M,BRYAN MIDDLE SCHOOL,ELL,ELL,2,6.0,Q34,The atmosphere at this school is positive,School Climate,BRYAN,1021,OPS,BRYAN
166,1206.0,M,BRYAN MIDDLE SCHOOL,Former ELL,ELL,2,13.0,Q34,The atmosphere at this school is positive,School Climate,BRYAN,1021,OPS,BRYAN
167,1207.0,M,BRYAN MIDDLE SCHOOL,Not ELL,ELL,2,13.0,Q34,The atmosphere at this school is positive,School Climate,BRYAN,1021,OPS,BRYAN
